번호,금융용어,정의,비유,왜 중요?,오해 교정,예시
1,생산적 금융,"실물경제(기업 투자, 운영자금, 임금 등)에 기여하는 금융 활동",씨앗에 물을 주는 금융 - 성장의 기반을 만드는 자금,산업 발전과 고용 창출에 직접 기여함,단순히 돈을 빌려주는 것이 아니라 경제성장을 촉진하는 자금 흐름,"정부는 자금이 부동산·주식 등 비생산적 부문으로 흘러가지 않도록, 생산적 금융을 확대하겠다고 밝혔다"
2,실물경제 금융,"실물경제(기업 투자, 운영자금, 임금 등)에 기여하는 금융 활동",씨앗에 물을 주는 금융 - 성장의 기반을 만드는 자금,산업 발전과 고용 창출에 직접 기여함,단순히 돈을 빌려주는 것이 아니라 경제성장을 촉진하는 자금 흐름,"정부는 자금이 부동산·주식 등 비생산적 부문으로 흘러가지 않도록, 생산적 금융을 확대하겠다고 밝혔다"
3,생산활동 금융,"실물경제(기업 투자, 운영자금, 임금 등)에 기여하는 금융 활동",씨앗에 물을 주는 금융 - 성장의 기반을 만드는 자금,산업 발전과 고용 창출에 직접 기여함,단순히 돈을 빌려주는 것이 아니라 경제성장을 촉진하는 자금 흐름,"정부는 자금이 부동산·주식 등 비생산적 부문으로 흘러가지 않도록, 생산적 금융을 확대하겠다고 밝혔다"
4,비생산적 금융,부동산 투기 등 자산 소유권 이전에 집중되어 부가가치를 창출하지 않는 금융,물만 옮기는 양동이 - 새로운 가치 없이 자산만 이동,경제 내 자원 낭비와 불평등 심화 초래,수익이 나면 다 좋은 금융이 아님 - 실물경제 기여도가 핵심,부동산 담보대출과 같은 비생산적 금융이 늘어났다.
5,투기적 금융,부동산 투기 등 자산 소유권 이전에 집중되어 부가가치를 창출하지 않는 금융,물만 옮기는 양동이 - 새로운 가치 없이 자산만 이동,경제 내 자원 낭비와 불평등 심화 초래,수익이 나면 다 좋은 금융이 아님 - 실물경제 기여도가 핵심,부동산 담보대출과 같은 비생산적 금융이 늘어났다.
6,관계금융,기업의 실질적 상황을 이해하고 장기적 관계 속에서 자금을 공급하는 금융 방식,주치의 같은 은행 - 단기 처방 아닌 장기 진단,"기업의 지속가능 성장 지원, 부실채권 예방",단순 친분이 아닌 정보 기반의 장기적 신뢰 시스템,수출입 기업의 자금 부담을 완화하기 위해 정부는 관세금융 지원제도를 확대하겠다고 밝혔다
7,관계형 금융,기업의 실질적 상황을 이해하고 장기적 관계 속에서 자금을 공급하는 금융 방식,주치의 같은 은행 - 단기 처방 아닌 장기 진단,"기업의 지속가능 성장 지원, 부실채권 예방",단순 친분이 아닌 정보 기반의 장기적 신뢰 시스템,수출입 기업의 자금 부담을 완화하기 위해 정부는 관세금융 지원제도를 확대하겠다고 밝혔다
8,BIS 비율,은행의 자본 건전성을 측정하는 국제 기준(자기자본/위험가중자산 비율),충격 완충 장치 - 사고 나도 버틸 수 있는 두께,"은행이 위기 시, 손실을 감당할 수 있는 능력 평가",높다고 무조건 좋은 건 아님 - 적정 수준 유지가 중요,은행권의 BIS 비율이 하락하면 금융당국의 경영개선 명령이 내려질 수 있다
9,BIS 기준 자기자본비율,은행의 자본 건전성을 측정하는 국제 기준(자기자본/위험가중자산 비율),충격 완충 장치 - 사고 나도 버틸 수 있는 두께,"은행이 위기 시, 손실을 감당할 수 있는 능력 평가",높다고 무조건 좋은 건 아님 - 적정 수준 유지가 중요,은행권의 BIS 비율이 하락하면 금융당국의 경영개선 명령이 내려질 수 있다
10,스테이블코인,달러 등 법정화폐 가치에 연동되어 가격 변동성이 적은 암호화폐,디지털 세상 속 달러 지폐,"디지털 결제와 송금, 투자 안정성의 핵심 인프라",수익형 코인이 아님 - 가치 안정성이 목표,스테이블코인은 달러나 원화 등 실물자산에 연동돼 가격 변동성이 낮은 암호화폐다
11,고객확인절차,고객의 신원을 식별하고 확인하는 업무절차,금융의 신분증 검사,자금세탁방지·보안·법규 준수에 필수,개인정보 수집이 아닌 불법거래 방지 목적,금융사는 고객의 신원을 확인하는 KYC 절차를 거쳐야만 계좌 개설이 가능하다
12,KYC,고객의 신원을 식별하고 확인하는 업무절차,금융의 신분증 검사,자금세탁방지·보안·법규 준수에 필수,개인정보 수집이 아닌 불법거래 방지 목적,금융사는 고객의 신원을 확인하는 KYC 절차를 거쳐야만 계좌 개설이 가능하다
