번호,작업자,금융용어,유의어,정의,비유,왜 중요?,오해 교정,예시,단어 난이도,비고
1,조진용,생산적 금융,,"실물경제(기업 투자, 운영자금, 임금 등)에 기여하는 금융 활동",씨앗에 물을 주는 금융 - 성장의 기반을 만드는 자금,산업 발전과 고용 창출에 직접 기여함,단순히 돈을 빌려주는 것이 아니라 경제성장을 촉진하는 자금 흐름,"정부는 자금이 부동산·주식 등 비생산적 부문으로 흘러가지 않도록, 생산적 금융을 확대하겠다고 밝혔다",,
2,조진용,비생산적 금융,,부동산 투기 등 자산 소유권 이전에 집중되어 부가가치를 창출하지 않는 금융,물만 옮기는 양동이 - 새로운 가치 없이 자산만 이동,경제 내 자원 낭비와 불평등 심화 초래,수익이 나면 다 좋은 금융이 아님 - 실물경제 기여도가 핵심,부동산 담보대출과 같은 비생산적 금융이 늘어났다.,,
3,조진용,관계금융,,기업의 실질적 상황을 이해하고 장기적 관계 속에서 자금을 공급하는 금융 방식,주치의 같은 은행 - 단기 처방 아닌 장기 진단,"기업의 지속가능 성장 지원, 부실채권 예방",단순 친분이 아닌 정보 기반의 장기적 신뢰 시스템,수출입 기업의 자금 부담을 완화하기 위해 정부는 관세금융 지원제도를 확대하겠다고 밝혔다,,
4,조진용,BIS 비율,,은행의 자본 건전성을 측정하는 국제 기준(자기자본/위험가중자산 비율),충격 완충 장치 - 사고 나도 버틸 수 있는 두께,"은행이 위기 시, 손실을 감당할 수 있는 능력 평가",높다고 무조건 좋은 건 아님 - 적정 수준 유지가 중요,은행권의 BIS 비율이 하락하면 금융당국의 경영개선 명령이 내려질 수 있다,,
5,조진용,스테이블코인,,달러 등 법정화폐 가치에 연동되어 가격 변동성이 적은 암호화폐,디지털 세상 속 달러 지폐,"디지털 결제와 송금, 투자 안정성의 핵심 인프라",수익형 코인이 아님 - 가치 안정성이 목표,스테이블코인은 달러나 원화 등 실물자산에 연동돼 가격 변동성이 낮은 암호화폐다,,
6,조진용,고객확인절차,KYC,고객의 신원을 식별하고 확인하는 업무절차,금융의 신분증 검사,자금세탁방지·보안·법규 준수에 필수,개인정보 수집이 아닌 불법거래 방지 목적,금융사는 고객의 신원을 확인하는 KYC 절차를 거쳐야만 계좌 개설이 가능하다,,
7,조진용,위험가중치,,자산의 위험 정도에 따라 은행이 쌓아야 할 자본 비율,무게추 - 위험한 자산일수록 더 무거운 부담,금융시스템 안정성과 대출 건전성 유지,단순 수치 조정이 아니라 대출 구조 전반의 리스크 관리,"부동산 PF 대출의 위험가중치가 높아지면, 은행은 그만큼 더 많은 자본을 쌓아야 한다",,
8,조진용,사모펀드,,소수의 투자자로부터 자금을 모아 비공개로 기업 등에 투자하는 펀드,보이지 않는 큰손,기업 구조조정 및 경영개선에 영향,무조건 기업을 살린지는 않고 단기차익의 목적일 가능성 존재,최근 일부 사모펀드의 환매 중단 사태로 투자자 보호 장치 강화 필요성이 제기됐다,초급,
9,조진용,금융지주회사,,지분 보유를 통해 은행 증권 보험 자산관 리 등의 금융업을 영위하는 자회사들을 소유하여 경영하는 모회사,금융판 그룹 회장 - 여러 금융 자회사를 묶어 관리하는 중심 회사,"그룹 전체의 자본 배분·위험 관리가 용이하고, 시너지 효과를 낼 수 있음","단순히 지분만 보유한 회사가 아니라, 자본 효율화·리스크 관리 핵심 역할을 수행",신한금융지주는 계열사 간 시너지를 위해 금융지주회사 체제로 전환했다.,,
10,조진용,비금융업,,"은행, 증권, 보험 등 전통 금융업이 아닌 산업 전반(IT, 유통, 제조 등)을 의미",은행이 카페를 차리는 것 - 본업 외 다른 사업 영역,금융사가 기술혁신·데이터사업 등에 진출하려면 비금융업과의 융합이 필수,금융사는 본질적으로 금융업만 해야 한다는 구시대적 인식,핀테크 기술의 발달로 금융업과 비금융업의 경계가 모호해지는 빅블러 현상이 나타나고 있다.,,
11,조진용,칸막이 규제,,"금융과 비금융의 영역을 인위적으로 구분해, 상호소유나 진출을 제한하는 규제",벽쌓기 - 섞이지 말라고 벽을 세워둠,"리스크 전이 방지엔 유리하지만, 융합·혁신을 막는 부작용 큼","반드시 안전장치로만 보는 것은 오해, 혁신의 장애요소이기도 함",금융회사의 비금융업 진출을 막는 칸막이 규제로 인해 국내 금융산업의 경쟁력 저하가 우려된다.,,
12,조진용,금융샌드박스,,규제 특례를 적용해 새로운 금융 서비스를 한시적으로 실험할 수 있게 하는 제도,시험운전장 - 새로운 서비스가 안전하게 실험될 공간,혁신적인 서비스가 시장에 빠르게 진입하게 해주는 도우미,"규제가 없는 무법지대가 아닌, 일정 조건 하의 관리된 실험 공간",소액으로도 미국 주식에 투자할 수 있도록 주식을 소수점 단위로 쪼개서 거래하는 서비스가 금융 샌드박스를 통해 가능해졌습니다.,,
13,조진용,리스크 관리,,발생 가능한 손실 요인을 예측하고 최소화하기 위한 전략적 관리 화동,금융회사의 안전벨트,"부실, 유통성 위기 등 금융사고 미연 방지","위기 발생 후 대응이 아닌, 사전예방 중심의 관리 개념",하나금융은 철저한 리스크 관리와 비용 효율화를 통해 내실을 다질 계획이다,,
14,조진용,비상경영 체제,,위기 상황에서 경영 전반을 집중 점검하고 긴축적으로 운영하는 체제,회사의 비상모드,리스크 대응과 신뢰 회복을 위한 위기관리 수단,파산 직전 발동되는 것만이 아니라 신뢰 위기 대응용으로도 사용,우리금융은 신뢰 회복을 위해 한시적으로 비상경영 체제를 가동한다,,
15,조진용,윤리경영,,법과 규정을 준수하고 사회적 핵임을 다하는 기업 운영 철학,금융회사의 양심,고객 신뢰 회복과 내부통제의 근간,"단순히 기부가 아닌, 업무 전반의 정직성과 투명성 실천을 의미",회장은 윤리경영을 확립해 고객에게 신뢰받는 회사를 만들겠다고 다짐했다,,
16,조진용,내부통제,,금융회사가 부정·오류·위험을 예방하고 업무를 투명하게 수행하기 위해 내부 규정과 감시체계를 운영하는 제도,회사 내 브레이크 시스템,금융사고를 막고 고객 신뢰를 유지하는 핵심 장치,"감사부서의 역할이 아니라, 전 임직원이 참여하는 조직문화",금융당국은 각 금융사가 내부통제 체계를 강화해 사고 재발을 방지할 것을 주문했다.,,
