event_time,event_name,user_id,session_id,news_id,term,source,surface,message,payload_json
2025-10-22T04:32:14.758112+00:00,session_start,user_cea7d5c3,sess_2de12ee2758a,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T04:32:22.152919+00:00,news_click,user_cea7d5c3,sess_2de12ee2758a,1,,list,home,,"{""title"": ""한국은행, 기준금리 동결 결정""}"
2025-10-22T04:32:22.251914+00:00,news_detail_open,user_cea7d5c3,sess_2de12ee2758a,1,,,detail,,"{""title"": ""한국은행, 기준금리 동결 결정""}"
2025-10-22T04:32:24.714239+00:00,glossary_click,user_cea7d5c3,sess_2de12ee2758a,1,기준금리,news_highlight,detail,,"{""click_count"": 1}"
2025-10-22T04:32:24.716437+00:00,glossary_answer,user_cea7d5c3,sess_2de12ee2758a,1,기준금리,news_highlight,detail,,"{""answer_len"": 177}"
2025-10-22T04:32:29.031098+00:00,session_start,user_cea7d5c3,sess_97cf49630341,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T04:32:29.031602+00:00,glossary_click,user_cea7d5c3,sess_97cf49630341,1,기준금리,news_highlight,detail,,"{""via"": ""query_param""}"
2025-10-22T04:32:29.032864+00:00,glossary_answer,user_cea7d5c3,sess_97cf49630341,1,기준금리,news_highlight,detail,,"{""answer_len"": 177}"
2025-10-22T04:32:29.036955+00:00,news_detail_open,user_cea7d5c3,sess_97cf49630341,1,,,detail,,"{""title"": ""한국은행, 기준금리 동결 결정""}"
2025-10-22T04:33:08.721018+00:00,session_start,user_cea7d5c3,sess_33cd4d9f2345,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T04:33:08.725040+00:00,news_detail_open,user_cea7d5c3,sess_33cd4d9f2345,1,,,detail,,"{""title"": ""한국은행, 기준금리 동결 결정""}"
2025-10-22T04:33:10.883433+00:00,session_start,user_cea7d5c3,sess_dc3b418ee99b,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T04:33:10.887707+00:00,news_detail_open,user_cea7d5c3,sess_dc3b418ee99b,1,,,detail,,"{""title"": ""한국은행, 기준금리 동결 결정""}"
2025-10-22T04:33:15.582481+00:00,news_detail_back,user_cea7d5c3,sess_dc3b418ee99b,1,,,detail,,{}
2025-10-22T04:33:19.177917+00:00,news_click,user_cea7d5c3,sess_dc3b418ee99b,1,,list,home,,"{""title"": ""한국은행, 기준금리 동결 결정""}"
2025-10-22T04:33:19.282095+00:00,news_detail_open,user_cea7d5c3,sess_dc3b418ee99b,1,,,detail,,"{""title"": ""한국은행, 기준금리 동결 결정""}"
2025-10-22T04:33:22.314456+00:00,glossary_click,user_cea7d5c3,sess_dc3b418ee99b,1,기준금리,news_highlight,detail,,"{""click_count"": 1}"
2025-10-22T04:33:22.315614+00:00,glossary_answer,user_cea7d5c3,sess_dc3b418ee99b,1,기준금리,news_highlight,detail,,"{""answer_len"": 177}"
2025-10-22T04:33:24.428807+00:00,glossary_click,user_cea7d5c3,sess_dc3b418ee99b,1,양적완화,news_highlight,detail,,"{""click_count"": 2}"
2025-10-22T04:33:24.428807+00:00,glossary_answer,user_cea7d5c3,sess_dc3b418ee99b,1,양적완화,news_highlight,detail,,"{""answer_len"": 178}"
2025-10-22T04:33:30.913251+00:00,session_start,user_cea7d5c3,sess_fe8f30994fc5,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T04:33:30.914274+00:00,glossary_click,user_cea7d5c3,sess_fe8f30994fc5,1,양적완화,news_highlight,detail,,"{""via"": ""query_param""}"
2025-10-22T04:33:30.915587+00:00,glossary_answer,user_cea7d5c3,sess_fe8f30994fc5,1,양적완화,news_highlight,detail,,"{""answer_len"": 178}"
